i,gamma0,coact,uniform,gaussian
165,0.000190811,0.000179613,0.000184304,0.000559531
166,0.000183639,0.000175241,0.000179458,0.000559249
167,0.000182563,0.000172754,0.000176511,0.000559113
168,0.000173412,0.000169085,0.000172758,0.000558752
169,0.000170378,0.000165288,0.000170403,0.000557991
170,0.000167847,0.000157892,0.000163085,0.00055782
171,0.000164422,0.000156802,0.000160659,0.000557498
172,0.000159362,0.000153597,0.000156903,0.000557002
173,0.000157197,0.000150558,0.000151297,0.000556955
174,0.000152928,0.000146551,0.000150042,0.000556246
175,0.000149244,0.000146037,0.000147204,0.000555653
176,0.000145516,0.000142952,0.00014488,0.000555184
177,0.000142994,0.000140328,0.000143827,0.000555031
178,0.00014108,0.000139372,0.000141626,0.000554743
179,0.000139762,0.000136295,0.000137568,0.000554429
180,0.000135856,0.000134001,0.000132628,0.000554327
181,0.000133228,0.000129326,0.00013102,0.000553987
182,0.00013146,0.000127497,0.000126586,0.000553674
183,0.000129171,0.000121498,0.000126069,0.000553106
184,0.000128714,0.000120728,0.000122522,0.000552419
185,0.000128086,0.00011637,0.000122032,0.000551938
186,0.000123037,0.000115746,0.000120876,0.000551239
187,0.000120659,0.000114315,0.000117423,0.000551199
188,0.000118502,0.000113134,0.000116405,0.000551003
189,0.00011704,0.000109937,0.000114206,0.000550472
190,0.000116079,0.000108378,0.000113104,0.000550222
191,0.000114647,0.000106711,0.000111024,0.000550031
192,0.000112279,0.000105405,0.000108614,0.00054953
193,0.000111862,0.00010472,0.000108005,0.000549332
194,0.000107436,0.00010294,0.000105581,0.000548994
195,0.000106147,9.91272e-05,0.000103169,0.000548838
196,0.000105927,9.79466e-05,0.00010107,0.000548605
197,0.000103526,9.71684e-05,9.88073e-05,0.000548105
198,0.000102363,9.63002e-05,9.72413e-05,0.000547726
199,0.000101809,9.41784e-05,9.52605e-05,0.000547486
200,9.95597e-05,9.19301e-05,9.43729e-05,0.000546834
201,9.86924e-05,9.11589e-05,9.06406e-05,0.000546717
202,9.73834e-05,9.02544e-05,8.92796e-05,0.000546448
203,9.56586e-05,8.86982e-05,8.88257e-05,0.000545869
204,9.34713e-05,8.74139e-05,8.67196e-05,0.00054542
205,9.19291e-05,8.61145e-05,8.56955e-05,0.000545163
206,9.14589e-05,8.38338e-05,8.29154e-05,0.000544962
207,9.07083e-05,8.25704e-05,8.21532e-05,0.000544645
208,8.77785e-05,8.17528e-05,8.12116e-05,0.000544462
209,8.62211e-05,8.09596e-05,8.06327e-05,0.00054401
210,8.45025e-05,8.03819e-05,7.87231e-05,0.000543284
211,8.3742e-05,7.8793e-05,7.814e-05,0.000542764
212,8.3297e-05,7.7833e-05,7.68086e-05,0.000542605
213,8.22739e-05,7.58292e-05,7.56078e-05,0.000542006
214,8.04898e-05,7.5115e-05,7.41058e-05,0.000541627
215,7.94138e-05,7.41846e-05,7.39876e-05,0.000541402
216,7.87025e-05,7.31611e-05,7.38003e-05,0.000541156
217,7.68374e-05,7.21531e-05,7.27986e-05,0.00054072
